ingreso,carrera,idalumno,sexo,semestre,materias_cargadas,reprobadas,promedio,por_cursar,periodo
2013,Sistemas,13170001,H,1,6,0,87.17,39,2013-1
2013,Sistemas,13170001,H,2,6,1,75.14,34,2014-0
2013,Sistemas,13170001,H,3,7,0,84.86,27,2014-1
2013,Sistemas,13170001,H,4,3,0,85.00,24,2015-0
2013,Sistemas,13170001,H,5,3,0,84.00,21,2015-1
2013,Sistemas,13170001,H,6,7,1,77.62,15,2016-0
2013,Sistemas,13170001,H,7,5,0,90.80,10,2016-1
2013,Sistemas,13170001,H,8,2,3,33.60,11,2017-0
2013,Sistemas,13170001,H,9,5,0,81.80,6,2017-1
2013,Sistemas,13170001,H,10,5,0,93.60,1,2018-0
2013,Sistemas,13170001,H,11,1,1,39.50,1,2018-1
2013,Sistemas,13170001,H,12,1,2,30.00,2,2019-0
2013,Sistemas,13170002,M,1,6,1,73.14,40,2013-1
2013,Sistemas,13170002,M,2,6,0,84.33,34,2014-0
2013,Sistemas,13170002,M,3,3,1,64.50,32,2014-1
2013,Sistemas,13170002,M,4,5,2,63.00,29,2015-0
2013,Sistemas,13170002,M,5,5,1,71.00,25,2015-1
2013,Sistemas,13170002,M,6,6,0,86.00,19,2016-0
2013,Sistemas,13170002,M,7,5,2,61.57,16,2016-1
2013,Sistemas,13170002,M,8,8,0,89.88,8,2017-0
2013,Sistemas,13170002,M,9,5,1,71.17,4,2017-1
2013,Sistemas,13170002,M,10,4,2,57.67,2,2018-0
2013,Sistemas,13170002,M,11,2,1,58.67,1,2018-1
2013,Sistemas,13170002,M,12,1,2,29.33,2,2019-0
2013,Sistemas,13170003,H,1,6,1,72.29,40,2013-1
2013,Sistemas,13170003,H,2,5,1,74.33,36,2014-0
2013,Sistemas,13170003,H,3,2,0,90.00,34,2014-1
2013,Sistemas,13170003,H,4,5,1,74.00,30,2015-0
2013,Sistemas,13170003,H,5,6,2,66.38,26,2015-1
2013,Sistemas,13170003,H,6,7,1,77.00,20,2016-0
2013,Sistemas,13170003,H,7,6,1,73.71,15,2016-1
2013,Sistemas,13170003,H,8,6,1,76.00,10,2017-0
2013,Sistemas,13170003,H,9,3,0,89.67,7,2017-1
2013,Sistemas,13170004,H,1,6,1,73.14,40,2013-1
2013,Sistemas,13170004,H,2,5,1,68.17,36,2014-0
2013,Sistemas,13170004,H,3,5,3,54.75,34,2014-1
2013,Sistemas,13170004,H,4,7,2,66.22,29,2015-0
2013,Sistemas,13170005,M,1,6,1,78.43,40,2013-1
2013,Sistemas,13170005,M,2,5,0,87.40,35,2014-0
2013,Sistemas,13170005,M,3,5,1,71.83,31,2014-1
2013,Sistemas,13170005,M,4,5,2,64.43,28,2015-0
2013,Sistemas,13170005,M,5,7,0,89.29,21,2015-1
2013,Sistemas,13170005,M,6,5,1,70.17,17,2016-0
2013,Sistemas,13170005,M,7,3,0,84.67,14,2016-1
2013,Sistemas,13170006,H,1,6,0,86.67,39,2013-1
2013,Sistemas,13170006,H,2,5,2,64.29,36,2014-0
2013,Sistemas,13170006,H,3,5,1,73.67,32,2014-1
2013,Sistemas,13170006,H,4,5,2,63.29,29,2015-0
2013,Sistemas,13170006,H,5,7,0,89.57,22,2015-1
2013,Sistemas,13170007,H,1,6,2,66.75,41,2013-1
2013,Sistemas,13170008,M,1,6,1,71.57,40,2013-1
2013,Sistemas,13170008,M,2,3,0,77.33,37,2014-0
2013,Sistemas,13170008,M,3,5,0,92.40,32,2014-1
2013,Sistemas,13170008,M,4,7,0,90.00,25,2015-0
2013,Sistemas,13170008,M,5,5,1,68.33,21,2015-1
2013,Sistemas,13170008,M,6,2,0,91.50,19,2016-0
